Date_,Adj Close_GOOGL,Close_GOOGL,High_GOOGL,Low_GOOGL,Open_GOOGL,Volume_GOOGL,Date,reportedCurrency_x,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency_y,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y,GDP,Inflation,Unemployment,Interest Rate,Sentiment
2015-12-31,38.80441284,38.90050125,39.41650009,38.86600113,39.39099884,32752000,2015-12-31,USD,147461000000,90114000000,16549000000,73066000000,491000000,13459000000,57347000000,29016000000,11130000000,19716000000,3847000000,15869000000,65462000000,9383000000,56517000000,3139000000,None,27130000000,19310000000,1931000000,939000000,3225000000,2000000000,7820000000,None,3225000000,1225000000,1995000000,5225000000,13366000000,1822000000,120331000000,None,89223000000,32982000000,687348000,USD,46825000000,74989000000,28164000000,28164000000,19360000000,15183000000,12282000000,27465000000,None,-104000000,35000000,104000000,-422000000,152000000,None,5063000000,19651000000,3303000000,104000000,16348000000,14447000000,19755000000,24423000000,16348000000,USD,26572000000,3982000000,None,1843000000,2094000000,5063000000,9915000000,2094000000,1618000000,16121000000,-23711000000,-4225000000,None,1780000000,1780000000,None,47000000,None,None,None,None,None,-1387000000,None,-1798000000,-434000000,16348000000,18435.137,237.733,5.0,0.12,-1
2016-01-04,37.87820816,37.97200012,38.11000061,37.3769989,38.11000061,67382000,2016-01-04,USD,167497000000,105408000000,12918000000,86333000000,268000000,14232000000,62089000000,34234000000,13293000000,19775000000,3307000000,16468000000,84085000000,10578000000,73415000000,4575000000,1819000000,28461000000,16756000000,2041000000,1301000000,0,0,11705000000,None,4000000000,3935000000,3935000000,4000000000,13062000000,2665000000,139036000000,None,105131000000,36307000000,691293000,USD,55134000000,90272000000,35138000000,35138000000,23716000000,17470000000,13948000000,31418000000,None,-124000000,1220000000,124000000,-475000000,88000000,None,22816,24150000000,4672000000,124000000,19478000000,18950000000,24274000000,29860000000,19478000000,USD,36036000000,84000000,None,1848000000,2578000000,6144000000,10212000000,2578000000,2420000000,19276000000,-31165000000,-8332000000,None,3693000000,3693000000,None,0,None,None,None,None,None,-3395000000,None,-3631000000,-170000000,19478000000,18525.933,237.652,4.8,0.34,-1
2016-01-05,37.98245239,38.07649994,38.45999908,37.78250122,38.20500183,45216000,2016-01-05,USD,167497000000,105408000000,12918000000,86333000000,268000000,14232000000,62089000000,34234000000,13293000000,19775000000,3307000000,16468000000,84085000000,10578000000,73415000000,4575000000,1819000000,28461000000,16756000000,2041000000,1301000000,0,0,11705000000,None,4000000000,3935000000,3935000000,4000000000,13062000000,2665000000,139036000000,None,105131000000,36307000000,691293000,USD,55134000000,90272000000,35138000000,35138000000,23716000000,17470000000,13948000000,31418000000,None,-124000000,1220000000,124000000,-475000000,88000000,None,22816,24150000000,4672000000,124000000,19478000000,18950000000,24274000000,29860000000,19478000000,USD,36036000000,84000000,None,1848000000,2578000000,6144000000,10212000000,2578000000,2420000000,19276000000,-31165000000,-8332000000,None,3693000000,3693000000,None,0,None,None,None,None,None,-3395000000,None,-3631000000,-170000000,19478000000,18525.933,237.652,4.8,0.34,-1
2016-01-06,37.87272263,37.96649933,38.28649902,37.40000153,37.51850128,48206000,2016-01-06,USD,167497000000,105408000000,12918000000,86333000000,268000000,14232000000,62089000000,34234000000,13293000000,19775000000,3307000000,16468000000,84085000000,10578000000,73415000000,4575000000,1819000000,28461000000,16756000000,2041000000,1301000000,0,0,11705000000,None,4000000000,3935000000,3935000000,4000000000,13062000000,2665000000,139036000000,None,105131000000,36307000000,691293000,USD,55134000000,90272000000,35138000000,35138000000,23716000000,17470000000,13948000000,31418000000,None,-124000000,1220000000,124000000,-475000000,88000000,None,22816,24150000000,4672000000,124000000,19478000000,18950000000,24274000000,29860000000,19478000000,USD,36036000000,84000000,None,1848000000,2578000000,6144000000,10212000000,2578000000,2420000000,19276000000,-31165000000,-8332000000,None,3693000000,3693000000,None,0,None,None,None,None,None,-3395000000,None,-3631000000,-170000000,19478000000,18525.933,237.652,4.8,0.34,1
2016-01-07,36.95848465,37.04999924,37.76549911,36.76399994,37.32450104,63132000,2016-01-07,USD,167497000000,105408000000,12918000000,86333000000,268000000,14232000000,62089000000,34234000000,13293000000,19775000000,3307000000,16468000000,84085000000,10578000000,73415000000,4575000000,1819000000,28461000000,16756000000,2041000000,1301000000,0,0,11705000000,None,4000000000,3935000000,3935000000,4000000000,13062000000,2665000000,139036000000,None,105131000000,36307000000,691293000,USD,55134000000,90272000000,35138000000,35138000000,23716000000,17470000000,13948000000,31418000000,None,-124000000,1220000000,124000000,-475000000,88000000,None,22816,24150000000,4672000000,124000000,19478000000,18950000000,24274000000,29860000000,19478000000,USD,36036000000,84000000,None,1848000000,2578000000,6144000000,10212000000,2578000000,2420000000,19276000000,-31165000000,-8332000000,None,3693000000,3693000000,None,0,None,None,None,None,None,-3395000000,None,-3631000000,-170000000,19478000000,18525.933,237.652,4.8,0.34,-1
2016-01-08,36.45523071,36.54550171,37.50600052,36.44599915,37.38999939,47506000,2016-01-08,USD,167497000000,105408000000,12918000000,86333000000,268000000,14232000000,62089000000,34234000000,13293000000,19775000000,3307000000,16468000000,84085000000,10578000000,73415000000,4575000000,1819000000,28461000000,16756000000,2041000000,1301000000,0,0,11705000000,None,4000000000,3935000000,3935000000,4000000000,13062000000,2665000000,139036000000,None,105131000000,36307000000,691293000,USD,55134000000,90272000000,35138000000,35138000000,23716000000,17470000000,13948000000,31418000000,None,-124000000,1220000000,124000000,-475000000,88000000,None,22816,24150000000,4672000000,124000000,19478000000,18950000000,24274000000,29860000000,19478000000,USD,36036000000,84000000,None,1848000000,2578000000,6144000000,10212000000,2578000000,2420000000,19276000000,-31165000000,-8332000000,None,3693000000,3693000000,None,0,None,None,None,None,None,-3395000000,None,-3631000000,-170000000,19478000000,18525.933,237.652,4.8,0.34,-1
2016-01-11,36.56296539,36.6534996,36.75400162,35.97800064,36.59749985,50896000,2016-01-11,USD,167497000000,105408000000,12918000000,86333000000,268000000,14232000000,62089000000,34234000000,13293000000,19775000000,3307000000,16468000000,84085000000,10578000000,73415000000,4575000000,1819000000,28461000000,16756000000,2041000000,1301000000,0,0,11705000000,None,4000000000,3935000000,3935000000,4000000000,13062000000,2665000000,139036000000,None,105131000000,36307000000,691293000,USD,55134000000,90272000000,35138000000,35138000000,23716000000,17470000000,13948000000,31418000000,None,-124000000,1220000000,124000000,-475000000,88000000,None,22816,24150000000,4672000000,124000000,19478000000,18950000000,24274000000,29860000000,19478000000,USD,36036000000,84000000,None,1848000000,2578000000,6144000000,10212000000,2578000000,2420000000,19276000000,-31165000000,-8332000000,None,3693000000,3693000000,None,0,None,None,None,None,None,-3395000000,None,-3631000000,-170000000,19478000000,18525.933,237.652,4.8,0.34,1
2016-01-12,37.17494965,37.26699829,37.41699982,36.82149887,37.03749847,46816000,2016-01-12,USD,167497000000,105408000000,12918000000,86333000000,268000000,14232000000,62089000000,34234000000,13293000000,19775000000,3307000000,16468000000,84085000000,10578000000,73415000000,4575000000,1819000000,28461000000,16756000000,2041000000,1301000000,0,0,11705000000,None,4000000000,3935000000,3935000000,4000000000,13062000000,2665000000,139036000000,None,105131000000,36307000000,691293000,USD,55134000000,90272000000,35138000000,35138000000,23716000000,17470000000,13948000000,31418000000,None,-124000000,1220000000,124000000,-475000000,88000000,None,22816,24150000000,4672000000,124000000,19478000000,18950000000,24274000000,29860000000,19478000000,USD,36036000000,84000000,None,1848000000,2578000000,6144000000,10212000000,2578000000,2420000000,19276000000,-31165000000,-8332000000,None,3693000000,3693000000,None,0,None,None,None,None,None,-3395000000,None,-3631000000,-170000000,19478000000,18525.933,237.652,4.8,0.34,1
2016-01-13,35.88962936,35.97850037,37.65000153,35.8390007,37.46699905,51728000,2016-01-13,USD,167497000000,105408000000,12918000000,86333000000,268000000,14232000000,62089000000,34234000000,13293000000,19775000000,3307000000,16468000000,84085000000,10578000000,73415000000,4575000000,1819000000,28461000000,16756000000,2041000000,1301000000,0,0,11705000000,None,4000000000,3935000000,3935000000,4000000000,13062000000,2665000000,139036000000,None,105131000000,36307000000,691293000,USD,55134000000,90272000000,35138000000,35138000000,23716000000,17470000000,13948000000,31418000000,None,-124000000,1220000000,124000000,-475000000,88000000,None,22816,24150000000,4672000000,124000000,19478000000,18950000000,24274000000,29860000000,19478000000,USD,36036000000,84000000,None,1848000000,2578000000,6144000000,10212000000,2578000000,2420000000,19276000000,-31165000000,-8332000000,None,3693000000,3693000000,None,0,None,None,None,None,None,-3395000000,None,-3631000000,-170000000,19478000000,18525.933,237.652,4.8,0.34,-1
2016-01-14,36.47917175,36.56949997,36.99449921,35.25,36.22200012,55558000,2016-01-14,USD,167497000000,105408000000,12918000000,86333000000,268000000,14232000000,62089000000,34234000000,13293000000,19775000000,3307000000,16468000000,84085000000,10578000000,73415000000,4575000000,1819000000,28461000000,16756000000,2041000000,1301000000,0,0,11705000000,None,4000000000,3935000000,3935000000,4000000000,13062000000,2665000000,139036000000,None,105131000000,36307000000,691293000,USD,55134000000,90272000000,35138000000,35138000000,23716000000,17470000000,13948000000,31418000000,None,-124000000,1220000000,124000000,-475000000,88000000,None,22816,24150000000,4672000000,124000000,19478000000,18950000000,24274000000,29860000000,19478000000,USD,36036000000,84000000,None,1848000000,2578000000,6144000000,10212000000,2578000000,2420000000,19276000000,-31165000000,-8332000000,None,3693000000,3693000000,None,0,None,None,None,None,None,-3395000000,None,-3631000000,-170000000,19478000000,18525.933,237.652,4.8,0.34,1
