Date,Open,High,Low,Close,Adj Close,Volume,GDP,Inflation,Unemployment,Interest Rate,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,grossProfit,totalRevenue,operatingIncome,investmentIncomeNet,interestExpense,netIncome_x,capitalExpenditures,cashflowFromInvestment,cashflowFromFinancing,Sentiment
04-01-2010,7.622499943,7.660714149,7.585000038,7.643214226,6.461976528,493729600,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
05-01-2010,7.664286137,7.699643135,7.616071224,7.656428814,6.473148823,601904800,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
06-01-2010,7.656428814,7.686786175,7.526785851,7.534643173,6.370183468,552160000,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
07-01-2010,7.5625,7.571428776,7.466071129,7.520713806,6.358408451,477131200,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
08-01-2010,7.510714054,7.571428776,7.466429234,7.570713997,6.400680065,447610800,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
11-01-2010,7.599999905,7.607142925,7.444643021,7.503929138,6.344218731,462229600,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
12-01-2010,7.471070766,7.491786003,7.372142792,7.418570995,6.272050858,594459600,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
13-01-2010,7.423929214,7.533214092,7.289286137,7.523213863,6.360523224,605892000,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,1
14-01-2010,7.503929138,7.516428947,7.465000153,7.479642868,6.323684692,432894000,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
15-01-2010,7.533214092,7.557143211,7.352499962,7.354642868,6.218004227,594067600,14764.61,217.488,9.8,0.11,47501000000.0,31555000000.0,5263000000,17222000000.0,42905000000.0,11740000000.0,0,326000000,8235000000,1144000000,-17434000000,663000000.0,-1
